상가업소번호	상호명	상권업종대분류명	상권업종중분류명	상권업종소분류명	지번주소	도로명	구우편번호	신우편번호	경도	위도
15980236	여고시대	음식	분식	라면김밥분식	서울특별시 강동구 명일동 48-1	서울특별시 강동구 동남로73길	134825	5269	127.1543723	37.55270068
15980712	훈이네숯불닭갈비	음식	닭/오리요리	닭갈비전문	서울특별시 동작구 흑석동 106-31	서울특별시 동작구 서달로15길	156860	6972	126.96245	37.50853268
15988904	오롯이카페	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강서구 화곡동 341-7	서울특별시 강서구 곰달래로25길	157880	7757	126.8487285	37.53230261
15988906	만리헬스카페	음식	커피점/카페	커피전문점/카페/다방	서울특별시 용산구 서계동 260-1	서울특별시 용산구 효창원로	140830	4305	126.9636791	37.55132513
15988911	공사	음식	커피점/카페	커피전문점/카페/다방	서울특별시 마포구 동교동 200-33	서울특별시 마포구 동교로27길	121819	3993	126.9225454	37.55809316
15991018	맘스터치	음식	패스트푸드	패스트푸드	서울특별시 성동구 금호동1가 119	서울특별시 성동구 금호로	133800	4721	127.0202496	37.55514197
15958720	트라디시용	음식	제과제빵떡케익	제과점	서울특별시 강동구 천호동 455-8	서울특별시 강동구 천호대로	134779	5328	127.1244181	37.5388494
15958619	빵사부식빵공장	음식	커피점/카페	커피전문점/카페/다방	서울특별시 노원구 상계동 717	서울특별시 노원구 노해로	139821	1695	127.0630686	37.65510868
15958375	봉수아피자	음식	패스트푸드	피자전문	서울특별시 관악구 신림동 538-40	서울특별시 관악구 난곡로65길	151876	8767	126.913652	37.48221588
15990262	이비엠	음식	커피점/카페	커피전문점/카페/다방	서울특별시 서초구 서초동 1572-8	서울특별시 서초구 서초대로50길	137874	6645	127.012493	37.49277874
15959108	에스엠에이치푸드	음식	분식	라면김밥분식	서울특별시 마포구 서교동 355-25	서울특별시 마포구 홍익로5안길	121838	4039	126.9214432	37.55367702
15988522	료에취닭갈비구이	음식	닭/오리요리	닭갈비전문	서울특별시 영등포구 대림동 988-43	서울특별시 영등포구 대림로	150822	7442	126.9051869	37.48971556
15961063	김떡분식	음식	분식	라면김밥분식	서울특별시 동작구 대방동 500	서울특별시 동작구 여의대방로44길	156762	6941	126.9259105	37.50971982
15961099	김밥천국	음식	분식	라면김밥분식	서울특별시 강서구 마곡동 797-14	서울특별시 강서구 공항대로	157805	7803	126.8372279	37.55959936
15988089	레이앤크림	음식	커피점/카페	커피전문점/카페/다방	서울특별시 마포구 서교동 328-11	서울특별시 마포구 와우산로29길	121836	4052	126.9289803	37.55528641
15956832	핀카페	음식	커피점/카페	커피전문점/카페/다방	서울특별시 영등포구 당산동5가 11-34	서울특별시 영등포구 당산로44길	150045	7214	126.9010631	37.53190019
15953596	식부관	음식	제과제빵떡케익	제과점	서울특별시 강남구 압구정동 429	서울특별시 강남구 압구정로	135724	6001	127.0274466	37.52735907
15980250	하림분식	음식	분식	라면김밥분식	서울특별시 중랑구 면목동 409-40	서울특별시 중랑구 면목로56길	131814	2209	127.0895359	37.58414269
15988917	메르시투데이	음식	커피점/카페	커피전문점/카페/다방	서울특별시 마포구 상수동 310-25	서울특별시 마포구 독막로15길	121829	4049	126.9218281	37.54817518
15894663	파리바게트도곡렉슬	음식	제과제빵떡케익	제과점	서울특별시 강남구 도곡동 527-3	서울특별시 강남구 선릉로	135272	6276	127.0527073	37.49536069
15939210	황기순의손칼국수	음식	분식	국수/만두/칼국수	서울특별시 은평구 갈현동 469-1	서울특별시 은평구 서오릉로	122813	3336	126.914278	37.61300752
15958725	별헤는잔	음식	분식	라면김밥분식	서울특별시 마포구 상수동 86-22	서울특별시 마포구 와우산로	121828	4067	126.9232587	37.55020656
15958779	바삭마차	음식	분식	라면김밥분식	서울특별시 마포구 망원동 412-52	서울특별시 마포구 월드컵로13길	121822	4011	126.9065593	37.55531516
15957294	행복의집	음식	제과제빵떡케익	제과점	서울특별시 성북구 동선동2가 238	서울특별시 성북구 보문로30가길	136052	2844	127.0207567	37.58989042
15958264	마녀김밥	음식	분식	라면김밥분식	서울특별시 영등포구 여의도동 44-32	서울특별시 영등포구 여의대방로65길	150890	7333	126.9300107	37.51962349
15958275	진명버섯매운칼국수	음식	분식	국수/만두/칼국수	서울특별시 구로구 오류동 159-3	서울특별시 구로구 오류로	152897	8342	126.8405513	37.49116226
15959769	조인행닭갈비	음식	닭/오리요리	닭갈비전문	서울특별시 동작구 대방동 409-13	서울특별시 동작구 여의대방로24길	156811	7055	126.9250253	37.49888119
15989507	조여사떡볶이	음식	분식	떡볶이전문	서울특별시 강서구 화곡동 957-20	서울특별시 강서구 까치산로24길	157912	7660	126.8517999	37.54966843
15988004	커피홀창동점	음식	커피점/카페	커피전문점/카페/다방	서울특별시 도봉구 창동 219-5	서울특별시 도봉구 도봉로136가길	132906	1400	127.0426445	37.65613405
15988303	브레댄코고덕역점	음식	제과제빵떡케익	제과점	서울특별시 강동구 고덕동 310	서울특별시 강동구 고덕로	134804	5233	127.1539271	37.55504023
15961006	튀김옷이날개네	음식	분식	라면김밥분식	서울특별시 마포구 성산동 667	서울특별시 마포구 모래내로9길	121917	3952	126.9142645	37.56717183
15988201	신불떡볶이	음식	분식	떡볶이전문	서울특별시 강남구 논현동 191-2	서울특별시 강남구 봉은사로25길	135826	6122	127.0322926	37.508675
